vgs	d(Id(M1))/Id(M1)
4.690000000000003e-001	2.198380e+001
4.700000000000003e-001	2.193765e+001
4.710000000000003e-001	2.189084e+001
4.720000000000003e-001	2.184347e+001
4.730000000000003e-001	2.179546e+001
4.740000000000003e-001	2.174681e+001
4.750000000000003e-001	2.169759e+001
4.760000000000003e-001	2.164770e+001
4.770000000000003e-001	2.159718e+001
4.780000000000003e-001	2.154608e+001
4.790000000000003e-001	2.149438e+001
4.800000000000003e-001	2.144205e+001
4.810000000000003e-001	2.138907e+001
4.820000000000003e-001	2.133546e+001
4.830000000000003e-001	2.128126e+001
4.840000000000003e-001	2.122648e+001
4.850000000000003e-001	2.117108e+001
4.860000000000003e-001	2.111504e+001
4.870000000000003e-001	2.105839e+001
4.880000000000003e-001	2.100118e+001
4.890000000000003e-001	2.094336e+001
4.900000000000003e-001	2.088493e+001
4.910000000000003e-001	2.082588e+001
4.920000000000003e-001	2.076631e+001
4.930000000000003e-001	2.070616e+001
4.940000000000003e-001	2.064539e+001
4.950000000000003e-001	2.058407e+001
4.960000000000003e-001	2.052222e+001
